"ID";"TIME";"STATUS"
"265";"2024-06-20 01:14:35";"F_ON"
"266";"2024-06-20 01:14:44";"F_OFF"
"267";"2024-06-20 01:14:51";"F_ON"
"268";"2024-06-20 01:25:47";"F_OFF"
"269";"2024-06-20 02:21:05";"F_ON"
"270";"2024-06-20 02:23:46";"F_OFF"
"271";"2024-06-20 09:15:11";"F_ON"
"272";"2024-06-20 09:15:19";"F_OFF"
"273";"2024-06-20 09:15:58";"F_ON"
"274";"2024-06-20 09:16:07";"F_OFF"
"275";"2024-06-20 09:16:39";"F_ON"
"276";"2024-06-20 09:16:48";"F_OFF"
"277";"2024-06-20 09:17:18";"F_ON"
"278";"2024-06-20 09:17:26";"F_OFF"
"279";"2024-06-20 09:17:53";"F_ON"
"280";"2024-06-20 09:18:01";"F_OFF"
"281";"2024-06-20 09:18:17";"F_ON"
"282";"2024-06-20 09:18:23";"F_OFF"
"283";"2024-06-20 09:18:51";"F_ON"
"284";"2024-06-20 09:18:59";"F_OFF"
"285";"2024-06-20 09:19:19";"F_ON"
"286";"2024-06-20 09:19:27";"F_OFF"
"287";"2024-06-20 09:19:56";"F_ON"
"288";"2024-06-20 09:20:04";"F_OFF"
"289";"2024-06-20 09:20:22";"F_ON"
"290";"2024-06-20 09:20:28";"F_OFF"
"291";"2024-06-20 09:20:51";"F_ON"
"292";"2024-06-20 09:20:59";"F_OFF"
"293";"2024-06-20 09:21:18";"F_ON"
"294";"2024-06-20 09:21:26";"F_OFF"
"295";"2024-06-20 09:21:42";"F_ON"
"296";"2024-06-20 09:21:51";"F_OFF"
"297";"2024-06-20 09:22:05";"F_ON"
"298";"2024-06-20 09:22:13";"F_OFF"
"299";"2024-06-20 09:22:19";"F_ON"
"300";"2024-06-20 09:22:25";"F_OFF"
"301";"2024-06-20 09:22:42";"F_ON"
"302";"2024-06-20 09:22:50";"F_OFF"
"303";"2024-06-20 09:22:56";"F_ON"
"304";"2024-06-20 09:23:02";"F_OFF"
"305";"2024-06-20 09:23:17";"F_ON"
"306";"2024-06-20 09:23:25";"F_OFF"
"307";"2024-06-20 09:23:31";"F_ON"
"308";"2024-06-20 09:23:37";"F_OFF"
"309";"2024-06-20 09:23:51";"F_ON"
"310";"2024-06-20 09:24:00";"F_OFF"
"311";"2024-06-20 09:24:06";"F_ON"
"312";"2024-06-20 09:24:12";"F_OFF"
"313";"2024-06-20 09:24:26";"F_ON"
"314";"2024-06-20 09:24:34";"F_OFF"
"315";"2024-06-20 09:24:46";"F_ON"
"316";"2024-06-20 09:24:54";"F_OFF"
"317";"2024-06-20 09:25:00";"F_ON"
"318";"2024-06-20 09:25:06";"F_OFF"
"319";"2024-06-20 09:25:20";"F_ON"
"320";"2024-06-20 09:25:28";"F_OFF"
"321";"2024-06-20 09:25:41";"F_ON"
"322";"2024-06-20 09:25:49";"F_OFF"
"323";"2024-06-20 09:25:56";"F_ON"
"324";"2024-06-20 09:26:05";"F_OFF"
"325";"2024-06-20 09:26:17";"F_ON"
"326";"2024-06-20 09:26:25";"F_OFF"
"327";"2024-06-20 09:26:30";"F_ON"
"328";"2024-06-20 09:26:37";"F_OFF"
"329";"2024-06-20 09:26:49";"F_ON"
"330";"2024-06-20 09:26:57";"F_OFF"
"331";"2024-06-20 09:27:04";"F_ON"
"332";"2024-06-20 09:27:10";"F_OFF"
"333";"2024-06-20 09:27:24";"F_ON"
"334";"2024-06-20 09:27:33";"F_OFF"
"335";"2024-06-20 09:27:39";"F_ON"
"336";"2024-06-20 09:27:45";"F_OFF"
"337";"2024-06-20 09:27:58";"F_ON"
"338";"2024-06-20 09:45:45";"F_OFF"
"339";"2024-06-20 10:02:44";"F_ON"
"340";"2024-06-20 10:02:50";"F_OFF"
"341";"2024-06-20 10:03:17";"F_ON"
"342";"2024-06-20 10:03:25";"F_OFF"
"343";"2024-06-20 10:03:38";"F_ON"
"344";"2024-06-20 10:03:47";"F_OFF"
"345";"2024-06-20 10:03:59";"F_ON"
"346";"2024-06-20 10:04:08";"F_OFF"
"347";"2024-06-20 10:04:15";"F_ON"
"348";"2024-06-20 10:04:21";"F_OFF"
"349";"2024-06-20 10:04:35";"F_ON"
"350";"2024-06-20 10:04:47";"F_OFF"
"351";"2024-06-20 10:04:54";"F_ON"
"352";"2024-06-20 10:05:00";"F_OFF"
"353";"2024-06-20 10:05:08";"F_ON"
"354";"2024-06-20 10:05:16";"F_OFF"
"355";"2024-06-20 10:05:23";"F_ON"
"356";"2024-06-20 10:05:29";"F_OFF"
"357";"2024-06-20 10:05:39";"F_ON"
"358";"2024-06-20 10:05:45";"F_OFF"
"359";"2024-06-20 10:05:51";"F_ON"
"360";"2024-06-20 10:06:06";"F_OFF"
"361";"2024-06-20 10:06:12";"F_ON"
"362";"2024-06-20 10:15:53";"F_OFF"
"363";"2024-06-20 10:30:07";"F_ON"
"364";"2024-06-20 10:30:16";"F_OFF"
"365";"2024-06-20 10:30:33";"F_ON"
"366";"2024-06-20 10:30:41";"F_OFF"
"367";"2024-06-20 10:31:01";"F_ON"
"368";"2024-06-20 10:31:10";"F_OFF"
"369";"2024-06-20 10:31:21";"F_ON"
"370";"2024-06-20 10:31:31";"F_OFF"
"371";"2024-06-20 10:31:37";"F_ON"
"372";"2024-06-20 10:31:43";"F_OFF"
"373";"2024-06-20 10:31:54";"F_ON"
"374";"2024-06-20 10:32:02";"F_OFF"
"375";"2024-06-20 10:32:08";"F_ON"
"376";"2024-06-20 10:32:17";"F_OFF"
"377";"2024-06-20 10:32:28";"F_ON"
"378";"2024-06-20 10:32:34";"F_OFF"
"379";"2024-06-20 10:32:41";"F_ON"
"380";"2024-06-20 10:32:53";"F_OFF"
"381";"2024-06-20 10:32:59";"F_ON"
"382";"2024-06-20 10:33:08";"F_OFF"
"383";"2024-06-20 10:33:16";"F_ON"
"384";"2024-06-20 10:33:24";"F_OFF"
"385";"2024-06-20 10:33:30";"F_ON"
"386";"2024-06-20 10:33:38";"F_OFF"
"387";"2024-06-20 10:33:44";"F_ON"
"388";"2024-06-20 10:38:51";"F_OFF"
"389";"2024-06-20 10:38:57";"F_ON"
"390";"2024-06-20 10:39:04";"F_OFF"
"391";"2024-06-20 10:53:02";"F_ON"
"392";"2024-06-20 10:53:09";"F_OFF"
"393";"2024-06-20 10:53:40";"F_ON"
"394";"2024-06-20 10:53:46";"F_OFF"
"395";"2024-06-20 10:53:56";"F_ON"
"396";"2024-06-20 10:54:01";"F_OFF"
"397";"2024-06-20 10:54:20";"F_ON"
"398";"2024-06-20 11:03:06";"F_OFF"
"399";"2024-06-20 11:14:42";"F_ON"
"400";"2024-06-20 11:25:40";"F_OFF"
"401";"2024-06-20 11:25:46";"F_ON"
"402";"2024-06-20 11:25:53";"F_OFF"
"403";"2024-06-20 11:36:27";"F_ON"
"404";"2024-06-20 11:36:37";"F_OFF"
"405";"2024-06-20 11:36:43";"F_ON"
"406";"2024-06-20 11:36:52";"F_OFF"
"407";"2024-06-20 11:36:58";"F_ON"
"408";"2024-06-20 11:37:04";"F_OFF"
"409";"2024-06-20 11:37:13";"F_ON"
"410";"2024-06-20 11:46:12";"F_OFF"
"411";"2024-06-20 11:59:20";"F_ON"
"412";"2024-06-20 11:59:26";"F_OFF"
"413";"2024-06-20 11:59:49";"F_ON"
"414";"2024-06-20 12:07:32";"F_OFF"
"415";"2024-06-20 12:07:38";"F_ON"
"416";"2024-06-20 12:07:46";"F_OFF"
"417";"2024-06-20 12:20:34";"F_ON"
"418";"2024-06-20 12:20:40";"F_OFF"
"419";"2024-06-20 12:20:48";"F_ON"
"420";"2024-06-20 12:20:55";"F_OFF"
"421";"2024-06-20 12:21:14";"F_ON"
"422";"2024-06-20 12:27:03";"F_OFF"
"423";"2024-06-20 12:46:00";"F_ON"
"424";"2024-06-20 12:46:08";"F_OFF"
"425";"2024-06-20 12:46:25";"F_ON"
"426";"2024-06-20 12:51:54";"F_OFF"
"427";"2024-06-20 12:52:00";"F_ON"
"428";"2024-06-20 12:52:06";"F_OFF"
"429";"2024-06-20 13:06:53";"F_ON"
"430";"2024-06-20 13:13:23";"F_OFF"
"431";"2024-06-20 13:51:52";"F_ON"
"432";"2024-06-20 13:54:33";"F_OFF"
"433";"2024-06-20 15:27:13";"F_ON"
"434";"2024-06-20 15:27:21";"F_OFF"
"435";"2024-06-20 15:27:28";"F_ON"
"436";"2024-06-20 15:28:08";"F_OFF"
"437";"2024-06-20 16:12:57";"F_ON"
"438";"2024-06-20 16:13:05";"F_OFF"
"439";"2024-06-20 16:13:12";"F_ON"
"440";"2024-06-20 16:13:18";"F_OFF"
"441";"2024-06-20 16:13:38";"F_ON"
"442";"2024-06-20 16:13:45";"F_OFF"
"443";"2024-06-20 16:13:51";"F_ON"
"444";"2024-06-20 16:17:04";"F_OFF"
"445";"2024-06-20 16:37:03";"F_ON"
"446";"2024-06-20 16:37:11";"F_OFF"
"447";"2024-06-20 16:37:18";"F_ON"
